id	SC_unfresh_1	SC_fresh_5	SC_unfresh_2	SC_fresh_6	SC_unfresh_3	Myo_unfresh_1	SC_fresh_1	Myo_unfresh_2	SC_fresh_2	Myo_unfresh_3	SC_fresh_3	Myo_unfresh_4	SC_fresh_4
H2-Q4	2	1	2	0	0	0	0	0	0	0	0	0	0
H2-Q5	1	1	2	0	2	0	2	0	0	0	0	0	0
H2-Q6	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-Q7	0	0	1	0	0	0	1	0	0	0	0	0	0
H2-Q8	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-Q9	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-T10	14	5	9	1	7	24	15	12	6	30	3	41	3
H2-T22	0	1	3	0	0	0	1	0	1	1	0	0	0
H2-T23	179	110	216	66	58	1355	207	844	132	1115	51	1522	11
H2-T24	22	8	15	6	5	102	9	78	4	74	3	131	0
H2-T3	0	0	0	0	1	0	0	1	0	0	0	1	0
H2-T9	0	0	0	0	0	0	0	0	0	0	0	0	0
H2afb1	0	0	0	0	0	0	0	0	0	0	0	0	0
H2afj	134	56	120	49	53	2107	268	1001	228	751	39	1063	11
H2afv	95	96	94	57	80	454	276	271	143	354	32	469	24
H2afx	8	9	13	0	12	94	31	86	8	57	2	50	0
H2afy	70	45	80	44	56	411	151	245	65	148	26	201	12
H2afy2	6	0	2	0	1	45	0	22	1	22	0	19	0
H2afy3	5	3	6	6	4	8	13	2	12	12	6	9	1
H2afz	332	228	422	151	350	5584	1158	2908	464	2242	92	2647	73
H2bfm	0	0	0	0	0	0	0	0	0	0	0	0	0
H3f3a	388	221	415	164	280	1645	776	659	401	1088	106	1473	65
H3f3b	751	495	669	395	452	3133	1273	1437	574	1916	222	2055	101
H60b	0	0	0	0	0	0	0	0	0	0	0	1	0
H60c	0	0	0	0	0	0	0	0	0	0	0	0	0
H6pd	25	20	40	9	26	10	27	7	29	24	8	37	5
Haao	0	0	1	0	0	0	0	0	0	0	0	0	0
Habp2	0	0	0	0	0	0	0	0	0	0	0	0	0
Habp4	17	8	21	6	7	29	13	15	14	42	5	52	3
Hace1	2	1	2	0	3	3	4	1	1	6	0	2	0
Hacl1	10	6	11	7	3	4	20	6	10	13	4	14	3
Hadh	54	43	95	40	37	168	149	138	69	139	30	168	7
Hadha	87	33	98	37	87	181	132	151	60	180	20	219	10
Hadhb	62	53	68	38	34	169	151	117	70	207	18	199	13
Hagh	42	26	74	39	54	144	116	105	61	166	24	184	11
Haghl	1	10	4	1	2	26	3	24	3	31	1	25	0
Hal	0	0	0	1	1	0	0	0	0	1	0	1	0
Hamp	0	0	0	0	0	0	0	0	0	0	0	1	0
Hamp2	0	0	1	0	0	0	0	0	0	2	0	6	0
Hand1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hand2	0	0	0	0	0	0	0	1	0	0	0	0	0
Hao1	0	0	0	0	0	1	0	0	0	0	0	0	0
Hao2	0	0	0	0	0	0	0	0	0	0	0	0	0
Hap1	0	1	1	0	0	0	0	0	0	0	0	1	0
Hapln1	0	0	0	0	0	0	0	0	0	1	0	1	0
Hapln2	1	1	0	1	0	0	4	0	0	0	0	0	0
Hapln3	0	0	0	0	0	0	0	0	0	0	0	0	0
Hapln4	0	0	1	0	0	1	0	5	0	1	0	2	0
Harbi1	6	6	6	5	4	20	10	14	5	23	3	21	2
Hars	60	33	66	31	39	285	94	137	47	194	20	219	5
Hars2	12	10	19	7	13	44	17	32	11	37	8	44	2
Has1	0	0	0	0	0	4	0	0	0	0	0	0	0
Has2	1	0	0	0	0	26	0	7	0	28	0	38	0
Has2as	0	0	1	0	0	1	0	3	0	1	0	2	0
Has3	0	2	1	0	1	1	3	1	1	0	0	0	0
Hat1	21	12	23	9	17	313	67	105	35	181	7	222	3
Haus1	22	13	20	4	14	114	28	42	17	58	4	71	7
Haus2	5	4	7	1	2	40	8	9	4	19	2	24	0
Haus3	8	4	7	9	12	124	18	15	8	55	3	64	4
Haus4	5	11	4	2	5	51	15	31	8	36	10	47	1
Haus5	4	6	9	5	1	25	12	27	5	13	1	19	2
Haus6	7	2	5	2	5	71	5	12	3	20	0	36	0
Haus7	24	22	29	15	11	125	46	63	37	103	8	90	1
Haus8	3	1	6	1	4	112	15	65	8	66	2	57	1
Havcr1	0	0	0	0	0	0	0	0	1	0	0	0	0
Havcr2	0	0	1	0	0	1	0	1	0	0	0	4	0
Hax1	164	93	172	59	102	1166	401	807	167	953	45	1158	16
Hba-a1	0	3	4	4	1	0	2	0	0	0	0	0	1
Hba-a2	0	0	0	0	1	0	0	0	0	0	0	0	0
Hba-x	0	0	0	0	0	0	0	0	0	0	0	0	0
Hbb-b1	0	21	33	16	9	0	16	0	12	0	0	0	2
Hbb-b2	0	17	20	14	1	0	24	0	13	0	0	0	2
Hbb-bh1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hbb-bh2	0	0	0	0	0	0	0	0	0	0	0	0	0
Hbb-bs	3	0	3	8	4	0	0	0	7	0	0	0	0
Hbb-bt	1	0	5	10	6	0	0	0	1	0	0	0	2
Hbb-y	0	0	0	0	0	0	0	0	0	0	0	0	0
Hbegf	7	0	6	2	6	95	8	26	3	67	1	90	1
Hbp1	66	31	70	24	68	74	76	22	60	87	24	99	11
Hbq1a	0	0	0	0	0	0	0	0	0	1	0	0	0
Hbq1b	0	0	0	0	0	0	0	0	0	0	0	0	0
Hbs1l	39	17	30	12	22	199	68	86	22	146	16	149	4
Hc	0	0	0	0	0	0	0	0	0	0	0	0	0
Hccs	6	7	9	1	6	54	13	8	11	53	1	62	0
Hcfc1	26	10	20	13	12	63	28	53	15	50	9	40	3
Hcfc1r1	115	94	138	47	67	378	194	451	115	510	39	665	26
Hcfc2	7	3	9	2	4	20	8	7	6	14	3	28	0
Hck	0	0	0	0	0	0	1	0	0	1	0	2	0
Hcls1	2	0	5	0	1	2	1	0	0	5	0	4	0
Hcn1	0	0	1	0	0	0	0	0	0	0	0	0	0
Hcn2	0	0	0	0	0	0	0	0	0	0	0	0	0
Hcn3	0	0	0	0	0	0	1	1	1	1	0	0	0
Hcn4	0	0	0	0	0	0	0	0	0	0	0	0	0
Hcrt	0	0	0	0	0	0	0	0	0	0	0	0	0
Hcrtr1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hcrtr2	0	0	0	0	0	0	0	0	0	0	0	0	0
Hcst	0	0	1	0	0	0	0	0	0	0	0	0	0
Hdac1	78	38	91	33	64	962	157	486	66	514	32	470	9
Hdac10	4	1	17	7	7	14	14	5	10	11	3	18	1
Hdac11	58	32	63	23	54	15	62	15	52	38	30	35	7
Hdac2	45	27	56	26	29	316	79	61	43	162	10	230	6
Hdac3	29	14	25	8	16	109	31	80	22	84	3	91	4
Hdac4	13	12	18	4	11	3	5	2	4	9	4	10	1
Hdac5	19	4	10	9	11	37	11	38	6	63	6	63	4
Hdac6	9	2	10	3	3	52	10	28	5	16	4	29	1
Hdac7	8	2	7	2	9	12	7	11	2	17	1	22	0
Hdac8	6	1	10	0	0	11	3	8	1	3	0	2	0
Hdac9	0	2	0	1	0	0	0	0	0	5	1	1	0
Hdc	0	0	0	0	1	0	0	0	0	0	0	0	0
Hddc2	15	20	26	10	16	452	51	169	22	160	6	213	1
Hddc3	7	7	11	6	13	96	23	9	6	16	5	18	3
Hdgf	112	54	130	47	90	420	159	320	79	458	32	472	8
Hdgfl1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdgfrp2	39	21	29	15	37	113	58	82	28	92	9	89	7
Hdgfrp3	20	5	25	2	11	4	24	7	12	11	5	27	2
Hdhd1a	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdhd2	30	23	28	15	20	138	75	88	34	89	14	150	2
Hdhd3	8	7	12	3	7	52	22	31	6	33	1	43	1
Hdlbp	134	59	100	48	110	428	156	224	86	322	38	433	17
Hdx	0	0	2	0	0	5	1	0	0	2	0	2	0
Heatr1	10	5	14	10	11	70	16	19	7	32	2	45	0
Heatr2	2	3	3	2	2	27	7	16	6	23	0	24	1
Heatr3	13	5	10	6	8	39	27	23	9	27	2	32	1
Heatr5a	9	3	12	1	2	28	5	12	3	21	0	25	1
Heatr5b	4	2	3	3	6	13	3	8	6	16	0	12	2
Heatr6	19	10	29	10	20	64	45	47	17	53	8	47	3
